33	2014-05-12 21:28:22
200	2014-05-12 21:15:17
184	2014-05-12 20:56:38
170	2014-05-12 20:56:12
172	2014-05-12 20:48:49
183	2014-05-12 20:42:41
35	2014-05-12 19:54:54
163	2014-05-12 19:47:49
168	2014-05-12 19:10:28
170	2014-05-12 19:00:29
183	2014-05-12 18:28:52
1006	2014-05-12 18:28:49
200	2014-05-12 18:26:54
1021	2014-05-12 18:23:58
44	2014-05-12 18:22:22
163	2014-05-12 18:22:13
55	2014-05-12 18:22:05
7	2014-05-12 18:19:28
52	2014-05-12 18:19:22
1001	2014-05-12 18:12:32
51	2014-05-12 18:12:17
1008	2014-05-12 18:09:57
53	2014-05-12 18:06:24
200	2014-05-12 18:06:18
33	2014-05-12 18:05:57
42	2014-05-12 18:04:50
47	2014-05-12 18:04:47
1020	2014-05-12 17:55:33
31	2014-05-12 17:52:15
1017	2014-05-12 17:47:24
45	2014-05-12 17:45:48
82	2014-05-12 17:45:45
1029	2014-05-12 17:42:05
33	2014-05-12 17:39:42
1004	2014-05-12 17:39:24
36	2014-05-12 17:38:13
37	2014-05-12 17:37:59
46	2014-05-12 17:37:54
170	2014-05-12 17:37:32
1005	2014-05-12 17:34:51
1015	2014-05-12 17:34:48
1013	2014-05-12 17:34:36
38	2014-05-12 17:26:36
48	2014-05-12 17:26:32
35	2014-05-12 17:25:56
43	2014-05-12 17:25:44
183	2014-05-12 17:25:17
100	2014-05-12 17:16:03
113	2014-05-12 17:08:18
184	2014-05-12 16:59:31
1018	2014-05-12 15:41:51
32	2014-05-12 15:38:25
1014	2014-05-12 15:27:20
1020	2014-05-12 15:27:16
1021	2014-05-12 15:27:12
200	2014-05-12 15:27:08
1008	2014-05-12 15:17:52
1022	2014-05-12 14:57:24
170	2014-05-12 14:35:38
1030	2014-05-12 14:33:21
1015	2014-05-12 14:27:01
183	2014-05-12 14:24:16
1006	2014-05-12 14:24:01
43	2014-05-12 14:20:08
47	2014-05-12 14:20:04
184	2014-05-12 14:15:58
52	2014-05-12 14:15:55
1028	2014-05-12 14:15:11
1029	2014-05-12 14:09:25
43	2014-05-12 14:08:41
1017	2014-05-12 14:05:30
35	2014-05-12 14:03:54
38	2014-05-12 14:03:42
188	2014-05-12 14:03:27
100	2014-05-12 14:00:29
1004	2014-05-12 13:56:50
1003	2014-05-12 13:56:29
1018	2014-05-12 13:56:24
48	2014-05-12 13:51:48
1005	2014-05-12 13:48:42
44	2014-05-12 13:45:28
1001	2014-05-12 13:37:55
51	2014-05-12 13:35:50
33	2014-05-12 13:31:57
36	2014-05-12 13:21:27
1013	2014-05-12 13:19:48
37	2014-05-12 13:16:35
46	2014-05-12 13:16:07
82	2014-05-12 13:13:18
45	2014-05-12 13:13:11
7	2014-05-12 13:09:06
1019	2014-05-12 12:59:09
1020	2014-05-12 12:12:37
45	2014-05-12 12:12:28
82	2014-05-12 12:12:24
1019	2014-05-12 12:07:42
55	2014-05-12 12:06:57
53	2014-05-12 12:06:53
1008	2014-05-12 12:04:34
1021	2014-05-12 12:03:27
1018	2014-05-12 12:03:05
1016	2014-05-12 12:01:51
48	2014-05-12 11:56:55
1014	2014-05-12 11:52:00
1013	2014-05-12 11:51:56
1015	2014-05-12 11:51:54
42	2014-05-12 11:51:04
7	2014-05-12 11:45:14
1022	2014-05-12 11:43:41
200	2014-05-12 11:43:09
52	2014-05-12 11:39:57
44	2014-05-12 11:39:32
37	2014-05-12 11:39:18
46	2014-05-12 11:39:11
1029	2014-05-12 11:38:17
1005	2014-05-12 11:37:55
36	2014-05-12 11:36:36
1017	2014-05-12 11:35:53
33	2014-05-12 11:35:01
1006	2014-05-12 11:33:42
183	2014-05-12 11:33:25
47	2014-05-12 11:32:17
1004	2014-05-12 11:31:27
47	2014-05-12 11:31:14
35	2014-05-12 11:29:46
38	2014-05-12 11:29:27
43	2014-05-12 11:29:24
51	2014-05-12 11:28:24
1030	2014-05-12 11:20:45
32	2014-05-12 11:09:20
31	2014-05-12 11:09:13
53	2014-05-12 11:07:44
55	2014-05-12 11:07:38
100	2014-05-12 11:05:15
1016	2014-05-12 09:57:50
183	2014-05-12 09:57:08
35	2014-05-12 09:38:54
113	2014-05-12 09:38:28
38	2014-05-12 09:38:24
1019	2014-05-12 09:33:55
1018	2014-05-12 09:33:52
1020	2014-05-12 09:31:29
44	2014-05-12 09:30:30
1021	2014-05-12 09:30:27
44	2014-05-12 09:29:35
51	2014-05-12 09:28:50
1014	2014-05-12 09:28:05
1015	2014-05-12 09:27:40
200	2014-05-12 09:23:10
1008	2014-05-12 09:23:04
52	2014-05-12 09:18:51
42	2014-05-12 09:15:26
187	2014-05-12 09:11:42
1017	2014-05-12 09:11:33
55	2014-05-12 09:06:56
48	2014-05-12 09:06:51
1013	2014-05-12 09:02:35
1022	2014-05-12 08:54:06
1004	2014-05-12 08:52:43
172	2014-05-12 08:51:52
1006	2014-05-12 08:48:14
1030	2014-05-12 08:46:39
36	2014-05-12 08:46:33
31	2014-05-12 08:42:11
43	2014-05-12 08:36:29
170	2014-05-12 08:35:56
1003	2014-05-12 08:31:13
1005	2014-05-12 08:31:04
32	2014-05-12 08:30:00
33	2014-05-12 08:28:08
1028	2014-05-12 08:26:44
163	2014-05-12 08:22:36
1029	2014-05-12 08:19:32
53	2014-05-12 07:40:52
100	2014-05-12 07:32:23
45	2014-05-12 07:29:47
82	2014-05-12 07:21:00
46	2014-05-12 07:09:04
37	2014-05-12 07:08:36
168	2014-05-11 21:39:05
1020	2014-05-11 21:26:05
168	2014-05-11 19:43:32
172	2014-05-11 18:41:01
168	2014-05-11 15:59:57
41	2014-05-11 15:29:15
168	2014-05-11 14:19:42
